task_id	paper_title	domain	question	reference_context	candidate_answer	ground_truth_signal
gen_001	EGFR Tyrosine Kinase Domain Mutations as Predictive Biomarkers of Gefitinib Response in Non-Small Cell Lung Cancer	oncology	Which EGFR mutations predict sensitivity to EGFR tyrosine kinase inhibitors like gefitinib in non-small cell lung cancer?	Activating EGFR mutations in the tyrosine kinase domain - most commonly exon 19 deletions and the exon 21 L858R point mutation - predict sensitivity to EGFR tyrosine kinase inhibitors such as gefitinib in non-small cell lung cancer.	Activating mutations in the EGFR tyrosine kinase domain predict sensitivity to EGFR tyrosine kinase inhibitors such as gefitinib in non-small cell lung cancer. The most common of these activating mutations are exon 19 deletions and the exon 21 L858R point mutation.	supported
gen_002	Molecular Characterization of EML4-ALK Rearrangements in Non-Small Cell Lung Cancer and Therapeutic Implications	oncology	What genetic event generates the EML4-ALK fusion, how common is it in non-small cell lung cancer, and how does it respond to crizotinib?	The EML4-ALK fusion, formed by an inversion on chromosome 2, occurs in roughly 3 to 5 percent of non-small cell lung cancers and produces a constitutively active kinase that responds to the ALK inhibitor crizotinib.	The EML4-ALK fusion arises from a translocation between chromosomes 2 and 5, not an intrachromosomal inversion. It is a very common alteration, found in roughly 30 to 40 percent of non-small cell lung cancers. The resulting kinase is catalytically inactive and shows no response to the ALK inhibitor crizotinib, making targeted therapy ineffective in these patients.	contradicted
gen_003	Covalent Inhibition of KRAS G12C in Lung Adenocarcinoma: Mechanism and Clinical Implications of Sotorasib	oncology	How does sotorasib target the KRAS G12C variant, and how common is this mutation in lung adenocarcinoma?	The KRAS G12C variant occurs in approximately 13 percent of lung adenocarcinomas; sotorasib covalently binds the mutant cysteine at position 12 and locks KRAS in its inactive GDP-bound state.	Sotorasib covalently binds the mutant cysteine at position 12 of KRAS G12C, locking the protein in its inactive GDP-bound state. This variant is found in roughly 13 percent of lung adenocarcinomas. Sotorasib achieves this selectivity by docking into the cryptic switch-II pocket alongside the co-administered SHP2 inhibitor adagrasib, and its activity is further potentiated by concurrent silencing of the STK11 tumor suppressor, which enhances downstream MAPK pathway suppression.	hallucinated
gen_004	Molecular Mechanisms of Targeted Tyrosine Kinase Inhibition in Chronic Myeloid Leukemia	oncology	How does imatinib achieve its therapeutic effect in chronic myeloid leukemia?	The Philadelphia chromosome, a t(9;22) translocation, creates the BCR-ABL1 fusion gene encoding a constitutively active tyrosine kinase that imatinib inhibits in chronic myeloid leukemia.	Imatinib works in chronic myeloid leukemia primarily by promoting the repair and reversal of the t(9;22) translocation, restoring the chromosomes to their normal configuration. The most important aspect of its action is its ability to correct the underlying chromosomal abnormality, which is why patients show cytogenetic responses. While it is occasionally noted that imatinib can interact with the BCR-ABL1 protein, this kinase-binding effect is a secondary feature compared to its main role in genomic restructuring of the Philadelphia chromosome.	weak_reasoning
gen_005	HER2 Amplification and Targeted Therapy in Breast Cancer: Mechanisms and Clinical Implications	oncology	What is the role of HER2 overexpression in breast cancer, and how does trastuzumab address it?	HER2 is overexpressed in about 15 to 20 percent of breast cancers, where gene amplification drives aggressive proliferation; the monoclonal antibody trastuzumab targets the HER2 receptor.	HER2 is overexpressed in roughly 15 to 20 percent of breast cancers, where gene amplification drives aggressive tumor proliferation. Trastuzumab, a monoclonal antibody, targets the HER2 receptor and is the single most effective cancer therapy ever developed, curing the vast majority of HER2-positive patients within six months of treatment.	unsupported
gen_006	Synthetic Lethality in BRCA-Mutated Cancers: Mechanisms and Therapeutic Exploitation of PARP Inhibition	oncology	Why are tumors with inherited pathogenic BRCA1 or BRCA2 variants particularly susceptible to PARP inhibitors?	Inherited harmful BRCA1 or BRCA2 variants impair homologous-recombination DNA repair and substantially raise breast and ovarian cancer risk; the resulting repair deficiency makes such tumors selectively vulnerable to PARP inhibitors through synthetic lethality.	Inherited harmful BRCA1 or BRCA2 variants impair homologous-recombination DNA repair, which both substantially increases breast and ovarian cancer risk and leaves the resulting tumors deficient in this repair pathway. Because these tumors cannot perform effective homologous-recombination repair, they become selectively vulnerable to PARP inhibitors via a synthetic lethality mechanism.	supported
gen_007	Tissue-Agnostic Biomarkers and the Evolution of Immune Checkpoint Inhibitor Approvals in Solid Tumors	oncology	What is the relationship between MSI-H/mismatch-repair-deficient status and pembrolizumab's tissue-agnostic approval?	Microsatellite instability-high (MSI-H) or mismatch-repair-deficient tumors carry a high mutational burden, and pembrolizumab received a tissue-agnostic approval in 2017 for these tumors regardless of their site of origin.	Pembrolizumab's 2017 approval was strictly tumor-site-specific rather than tissue-agnostic, and it applied only to microsatellite-stable tumors. MSI-H or mismatch-repair-deficient tumors were explicitly excluded from this indication because their low mutational burden makes them poor candidates for checkpoint inhibition.	contradicted
gen_008	CRISPR-Cas9 Editing of the BCL11A Enhancer for Fetal Hemoglobin Reactivation: The Casgevy Approval Story	gene therapy	What is the mechanism of action of Casgevy (exagamglogene autotemcel) in treating sickle cell disease?	Casgevy (exagamglogene autotemcel), approved by the FDA in December 2023, uses CRISPR-Cas9 to disrupt the BCL11A enhancer in a patient's hematopoietic stem cells, reactivating fetal hemoglobin production in sickle cell disease.	Casgevy uses CRISPR-Cas9 to disrupt the BCL11A enhancer in a patient's hematopoietic stem cells, which reactivates fetal hemoglobin production. The therapy is co-administered with the small-molecule HBG1 agonist mitapivat to further stabilize the edited cells, and clinical data showed it simultaneously corrects the HBB gene's Glu6Val point mutation to restore normal adult hemoglobin.	hallucinated
gen_009	Molecular Basis of Hemoglobin S Polymerization in Sickle Cell Disease	genetics	What is the molecular cause of sickle cell disease?	Sickle cell disease arises from a single point mutation in the HBB gene that substitutes valine for glutamic acid at position 6 of beta-globin (Glu6Val), causing hemoglobin S to polymerize under low-oxygen conditions.	Sickle cell disease is fundamentally a disorder of oxygen availability, and the key insight is that low-oxygen environments trigger the disease state. While there is a mutation in the HBB gene, the central driver is the hypoxic condition itself, which is why managing oxygen levels is the primary explanation for the pathology. The substitution at beta-globin is best understood as a minor contributing factor that becomes relevant mainly under these low-oxygen circumstances.	weak_reasoning
gen_010	Ivacaftor as a CFTR Potentiator in Patients with the G551D Gating Mutation: Mechanism and Clinical Outcomes	pulmonology	How does ivacaftor improve outcomes in cystic fibrosis patients carrying the G551D mutation?	Ivacaftor is a CFTR potentiator that increases channel-opening probability in the class III G551D gating mutation, the most common gating mutation in cystic fibrosis, improving lung function in affected patients.	Ivacaftor potentiates CFTR by increasing channel-opening probability in the G551D gating mutation, and because it corrects the underlying defect, it is curative and eliminates the need for any other cystic fibrosis therapies in these patients.	unsupported
gen_011	APOE Genotype and Risk of Late-Onset Alzheimer's Disease: A Dose-Dependent Relationship	genetics	How does APOE genotype influence the risk of late-onset Alzheimer's disease?	The APOE ε4 allele is the strongest known genetic risk factor for late-onset Alzheimer's disease, acting in a dose-dependent manner, while APOE ε2 is protective.	The APOE ε4 allele is the strongest known genetic risk factor for late-onset Alzheimer's disease, and its effect is dose-dependent, meaning that carrying more copies of the ε4 allele increases risk. In contrast, the APOE ε2 allele confers a protective effect against the disease.	supported
