task_id	paper_title	domain	question	reference_context	candidate_answer	ground_truth_signal
task_001	Single-cell RNA-seq reveals immune suppression in glioblastoma	single_cell_biology	Which immune cell population showed the strongest exhaustion signature in the tumor microenvironment?	The paper identified increased expression of PDCD1, LAG3, and TIGIT in infiltrating T cells, particularly within the CD8-positive population.	The strongest exhaustion signature was observed in CD8 T cells expressing PDCD1 and LAG3.	supported
task_002	CRISPR screening identifies regulators of EGFR resistance	functional_genomics	Which gene knockout restored sensitivity to osimertinib?	A genome-wide CRISPR knockout screen highlighted NF1 loss as a resistance driver, while SHOC2 suppression restored downstream MAPK pathway control.	Knocking out SHOC2 restored sensitivity to osimertinib.	supported
task_003	Proteomics analysis of liver toxicity in mice	proteomics	What biomarker was most associated with hepatotoxicity progression?	ALT and AST levels increased during treatment, while proteomic analysis highlighted strong elevation of CYP2E1-related oxidative stress proteins.	Troponin-I was the strongest biomarker associated with hepatotoxicity.	contradicted
task_004	Multi-omics integration for breast cancer subtype discovery	multiomics	Which subtype demonstrated the highest chromosomal instability?	Copy-number amplification and aneuploidy signals were strongest in the basal-like subtype across both genomic and transcriptomic analyses.	Luminal A subtype demonstrated the highest chromosomal instability.	contradicted
task_005	Clinical trial response prediction using transcriptomics	clinical_ai	What feature was most predictive of immunotherapy response?	High interferon-gamma signaling and elevated CD8 infiltration correlated strongly with treatment response.	Interferon-gamma signaling was the most predictive feature.	supported
task_006	Spatial transcriptomics of pancreatic tumors	spatial_biology	What spatial pattern was observed for fibroblast populations?	Cancer-associated fibroblasts clustered around hypoxic tumor regions with elevated COL1A1 and TGFB1 expression.	Fibroblasts were uniformly distributed throughout healthy tissue.	contradicted
task_007	Drug repurposing with graph neural networks	drug_discovery	Which approved drug showed potential efficacy against fibrosis?	The model ranked Nintedanib and Pirfenidone highly, with validation experiments supporting Nintedanib activity.	Nintedanib showed strong anti-fibrotic potential.	supported
task_008	RNA velocity analysis during stem cell differentiation	developmental_biology	What transition trajectory was identified?	RNA velocity vectors suggested a differentiation path from progenitor cells toward neuronal lineage commitment.	Cells transitioned from mature neurons back into pluripotent stem cells.	hallucinated
task_009	Benchmarking LLMs on biomedical reasoning	llm_evaluation	What was the primary failure mode observed in smaller models?	Smaller models frequently hallucinated biological mechanisms and failed multi-step reasoning tasks.	Smaller models mainly failed due to syntax formatting issues.	weak_reasoning
task_010	Metabolomics profiling in Alzheimer's disease	metabolomics	Which metabolite pathway showed the strongest dysregulation?	Lipid metabolism and sphingolipid pathways showed significant dysregulation across patient cohorts.	Sphingolipid metabolism showed the strongest dysregulation.	supported
